customer_id,category,iso_week_start_date,product_id,sell_through_units,sell_through_revenue_usd,aligned_sell_in_units,aligned_sell_in_revenue_usd,unshifted_sell_in_units,unshifted_sell_in_revenue_usd,pipeline_ratio_aligned,pipeline_ratio_unshifted,product_name,company_name,customer_type,avg_lead_time_days,inventory_buildup_flag,inventory_depletion_flag
CUST-0143,fasteners,2021-12-20,APX-00002,0,0,0,0,79,1195.27,null,null,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.6,null,null
CUST-0143,fasteners,2021-12-27,APX-00002,0,0,79,1195.27,94,1372.4,null,null,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.6,null,null
CUST-0143,fasteners,2022-01-03,APX-00002,0,0,94,1372.4,0,0,null,null,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.6,null,null
CUST-0143,fasteners,2022-01-10,APX-00002,74,1087.06,0,0,106,1563.5,0,1.432,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.6,false,false
CUST-0143,fasteners,2022-01-17,APX-00002,89,1291.39,0,0,0,0,0,0,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.6,false,true
CUST-0143,fasteners,2022-01-24,APX-00002,0,0,106,1563.5,125,1897.5,null,null,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.6,false,false
CUST-0143,fasteners,2022-01-31,APX-00002,103,1500.71,0,0,0,0,0,0,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.6,false,false
CUST-0143,fasteners,2022-02-07,APX-00002,0,0,125,1897.5,0,0,null,null,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.6,false,false
CUST-0143,fasteners,2022-02-14,APX-00002,118,1733.42,0,0,153,2395.98,0,1.297,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.6,false,false
CUST-0143,fasteners,2022-02-21,APX-00002,0,0,153,2395.98,127,2000.25,null,null,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.6,false,false
CUST-0143,fasteners,2022-02-28,APX-00002,0,0,127,2000.25,352,5663.68,null,null,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.6,null,null
CUST-0143,fasteners,2022-03-07,APX-00002,148,2215.56,352,5663.68,291,4618.17,2.378,1.966,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.6,false,false
CUST-0143,fasteners,2022-03-14,APX-00002,119,1815.94,291,4618.17,233,3630.14,2.445,1.958,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.6,true,false
CUST-0143,fasteners,2022-03-21,APX-00002,339,5444.34,233,3630.14,201,3027.06,0.687,0.593,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.6,false,false
CUST-0143,fasteners,2022-03-28,APX-00002,273,4226.04,201,3027.06,353,5404.43,0.736,1.293,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.6,false,true
CUST-0143,fasteners,2022-04-04,APX-00002,223,3458.73,353,5404.43,0,0,1.583,0,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.6,false,false
CUST-0143,fasteners,2022-04-11,APX-00002,193,2875.7,0,0,0,0,0,0,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.5,false,false
CUST-0143,fasteners,2022-04-18,APX-00002,342,5194.98,0,0,173,2731.67,0,0.506,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.5,false,true
CUST-0143,fasteners,2022-04-25,APX-00002,0,0,173,2731.67,0,0,null,null,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.5,false,false
CUST-0143,fasteners,2022-05-02,APX-00002,0,0,0,0,198,3108.6,null,null,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.5,null,null
CUST-0143,fasteners,2022-05-09,APX-00002,168,2541.84,198,3108.6,174,2825.76,1.179,1.036,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.5,false,false
CUST-0143,fasteners,2022-05-16,APX-00002,0,0,174,2825.76,156,2403.96,null,null,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.5,false,false
CUST-0143,fasteners,2022-05-23,APX-00002,186,2788.14,156,2403.96,386,6380.58,0.839,2.075,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.5,false,false
CUST-0143,fasteners,2022-05-30,APX-00002,168,2659.44,386,6380.58,259,4149.18,2.298,1.542,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.5,false,false
CUST-0143,fasteners,2022-06-06,APX-00002,145,2209.8,259,4149.18,178,2427.92,1.786,1.228,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.5,true,false
CUST-0143,fasteners,2022-06-13,APX-00002,365,5898.4,178,2427.92,172,2322,0.488,0.471,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.5,false,false
CUST-0143,fasteners,2022-06-20,APX-00002,244,3813.72,172,2322,390,5311.8,0.705,1.598,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.5,false,true
CUST-0143,fasteners,2022-06-27,APX-00002,171,2303.37,0,0,0,0,0,0,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.5,false,true
CUST-0143,fasteners,2022-07-04,APX-00002,161,2165.45,390,5311.8,194,2686.9,2.422,1.205,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.6,false,false
CUST-0143,fasteners,2022-07-11,APX-00002,370,4983.9,194,2686.9,141,1947.21,0.524,0.381,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.6,false,false
CUST-0143,fasteners,2022-07-18,APX-00002,0,0,141,1947.21,315,4457.25,null,null,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.6,false,false
CUST-0143,fasteners,2022-07-25,APX-00002,183,2424.75,315,4457.25,139,2048.86,1.721,0.76,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.6,false,false
CUST-0143,fasteners,2022-08-01,APX-00002,137,1828.95,139,2048.86,157,2190.15,1.015,1.146,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.6,false,false
CUST-0143,fasteners,2022-08-08,APX-00002,305,4273.05,157,2190.15,0,0,0.515,0,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.6,false,false
CUST-0143,fasteners,2022-08-15,APX-00002,135,1912.95,0,0,224,3024,0,1.659,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.6,false,true
CUST-0143,fasteners,2022-08-22,APX-00002,152,2106.72,0,0,0,0,0,0,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.7,false,true
CUST-0143,fasteners,2022-08-29,APX-00002,0,0,224,3024,0,0,null,null,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.7,false,false
CUST-0143,fasteners,2022-09-05,APX-00002,216,2905.2,0,0,171,2364.93,0,0.792,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.7,false,false
CUST-0143,fasteners,2022-09-12,APX-00002,0,0,171,2364.93,225,3039.75,null,null,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.7,false,false
CUST-0143,fasteners,2022-09-19,APX-00002,0,0,225,3039.75,107,1447.71,null,null,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.7,null,null
CUST-0143,fasteners,2022-09-26,APX-00002,165,2187.9,107,1447.71,0,0,0.648,0,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.7,false,false
CUST-0143,fasteners,2022-10-03,APX-00002,209,2798.51,0,0,122,1633.58,0,0.584,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.7,false,true
CUST-0143,fasteners,2022-10-10,APX-00002,104,1359.28,122,1633.58,210,2782.5,1.173,2.019,Apex Pro Hex Bolts M12 #2,The Boeing Company - Salem Plant,end_consumer,6.7,false,false
